88    19, 0.0
89    32, 0.0
90    28, 0.0
91    31, 0.0
92    36, 0.0
93    20, 0.0
94    14, 0.0
95    16, 0.0
96    49, 0.0
97    14, 0.0
10    23, 0.0
98    34, 0.0
11    15, 0.0
99    28, 0.0
12    47, 0.0
13    33, 0.0
14    19, 0.0
15    33, 0.0
16    22, 0.0
17    25, 0.0
18    17, 0.0
19    28, 0.0
0    24, 0.0
1    16, 0.0
2    16, 0.0
3    23, 0.0
4    25, 0.0
5    21, 0.0
6    16, 0.0
7    43, 0.0
8    12, 0.0
9    19, 0.0
20    20, 0.0
21    24, 0.0
22    15, 0.0
23    14, 0.0
24    18, 0.0
25    31, 0.0
26    20, 0.0
27    15, 0.0
28    26, 0.0
29    23, 0.0
30    22, 0.0
31    19, 0.0
32    27, 0.0
33    21, 0.0
34    19, 0.0
35    26, 0.0
36    28, 0.0
37    28, 0.0
38    15, 0.0
39    25, 0.0
40    14, 0.0
41    19, 0.0
42    17, 0.0
43    33, 0.0
44    23, 0.0
45    28, 0.0
46    22, 0.0
47    26, 0.0
48    21, 0.0
49    26, 0.0
50    28, 0.0
51    18, 0.0
52    24, 0.0
53    20, 0.0
54    23, 0.0
55    13, 0.0
56    25, 0.0
57    14, 0.0
58    21, 0.0
59    49, 0.0
60    46, 0.0
61    43, 0.0
62    84, 0.0
63    44, 0.0
64    39, 0.0
65    52, 0.0
66    46, 0.0
67    42, 0.0
68    52, 0.0
69    22, 0.0
70    17, 0.0
71    33, 0.0
72    17, 0.0
73    31, 0.0
74    30, 0.0
75    19, 0.0
76    20, 0.0
77    22, 0.0
78    35, 0.0
79    18, 0.0
100    21, 0.0
80    23, 0.0
81    23, 0.0
82    26, 0.0
83    23, 0.0
84    29, 0.0
85    20, 0.0
86    19, 0.0
87    20, 0.0
